key,publicationReady,abridged,headNote,endNote,textType,senderPlace,senderPlaceID,senderDate,senderDateFrom,senderDateTo,senderDateEarliest,senderDateLatest,senderDateEvidence,addressee,addresseeID,addresseeOrg,addresseePlace,addresseePlaceID,seeAlso,exclude,note
1,true,true,true,true,,Oxford,http://www.geonames.org/2640729,1914-10,,,,,conjecture,Edith Bratt,http://www.wikidata.org/entity/Q82052,,,,https://www.tolkienguide.com/guide/letters/1,,
2,true,true,false,true,,,,1914-11-27,,,,,,Edith Bratt,http://www.wikidata.org/entity/Q82052,,,,https://www.tolkienguide.com/guide/letters/2,,
3,true,true,true,false,,Rugeley Camp,http://www.geonames.org/12639786,1915-11-26,,,,,,Edith Bratt,http://www.wikidata.org/entity/Q82052,,,,https://www.tolkienguide.com/guide/letters/3,,
4,true,true,false,true,,,,1916-03-02,,,,,,Edith Bratt,http://www.wikidata.org/entity/Q82052,,,,https://www.tolkienguide.com/guide/letters/4,,
5,,true,true,false,,,,1916-08-12,,,,,,G. B. Smith,,,,,https://www.tolkienguide.com/guide/letters/5,,
6,,,true,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/6,,
7,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/7,,
8,,,false,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/8,,
8a,true,false,true,false,,Oxford,http://www.geonames.org/2640729,1934-01-21,,,,,,John Tolkien,https://viaf.org/viaf/23196819/,,,,https://www.tolkienguide.com/guide/letters/1364,,
8b,true,false,true,true,,Oxford,http://www.geonames.org/2640729,1936-08-10,,,,,,Christopher Tolkien,https://viaf.org/viaf/12315790/,,,,https://www.tolkienguide.com/guide/letters/1367,,
8c,true,false,true,true,,Oxford,http://www.geonames.org/2640729,1936-10-21,,,,,,Michael Tolkien,http://www.wikidata.org/entity/Q76335515,,,,https://www.tolkienguide.com/guide/letters/1368,,
9,true,,true,false,,Oxford,http://www.geonames.org/2640729,1937-01-04,,,,,,Susan Dagnall,http://www.wikidata.org/entity/Q118106303,George Allen &amp; Unwin Ltd.,,,https://www.tolkienguide.com/guide/letters/9,,
10,true,,true,true,,Oxford,http://www.geonames.org/2640729,1937-01-17,,,,,,C. A. Furth,,George Allen &amp; Unwin Ltd.,,,https://www.tolkienguide.com/guide/letters/10,,
11,true,,true,false,,Oxford,http://www.geonames.org/2640729,1937-02-05,,,,,,Susan Dagnall,http://www.wikidata.org/entity/Q118106303,George Allen &amp; Unwin Ltd.,,,https://www.tolkienguide.com/guide/letters/11,,
11a,true,,false,true,,Oxford,http://www.geonames.org/2640729,1937-02-12,,,,,,Michael Tolkien,http://www.wikidata.org/entity/Q76335515,,,,https://www.tolkienguide.com/guide/letters/1369,,
11b,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1370,,
11c,,,true,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1371,,
12,,,true,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/12,,
13,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/13,,
14,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/14,,
15,,,true,true,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/15,,
15a,,,true,false,,,,,,,,,,,,,,,https://www.tolkienguide.com/guide/letters/1372,,
